year,provider,methodology,flow_type,indicator,value
2012,Australia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,23374206
2012,Australia,Rio Markers,usd_commitment,Adaptation,248028060
2012,Australia,Rio Markers,usd_commitment,Cross-cutting,303353760
2012,Australia,Rio Markers,usd_commitment,Mitigation,59964030
2013,Australia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,83929416
2013,Australia,Rio Markers,usd_commitment,Adaptation,151804580
2013,Australia,Rio Markers,usd_commitment,Cross-cutting,275342700
2013,Australia,Rio Markers,usd_commitment,Mitigation,43434784
2014,Australia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,118479340
2014,Australia,Rio Markers,usd_commitment,Adaptation,101835540
2014,Australia,Rio Markers,usd_commitment,Cross-cutting,236605970
2014,Australia,Rio Markers,usd_commitment,Mitigation,18632496
2015,Australia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,115318504
2015,Australia,Rio Markers,usd_commitment,Adaptation,134206260
2015,Australia,Rio Markers,usd_commitment,Cross-cutting,177423700
2015,Australia,Rio Markers,usd_commitment,Mitigation,23024656
2016,Australia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,179414640
2016,Australia,Rio Markers,usd_commitment,Adaptation,136638060
2016,Australia,Rio Markers,usd_commitment,Cross-cutting,245714740
2016,Australia,Rio Markers,usd_commitment,Mitigation,12162784
2017,Australia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,140996880
2017,Australia,Rio Markers,usd_commitment,Adaptation,137548780
2017,Australia,Rio Markers,usd_commitment,Cross-cutting,186743310
2017,Australia,Rio Markers,usd_commitment,Mitigation,21080720
2018,Australia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,153873620
2018,Australia,Rio Markers,usd_commitment,Adaptation,108931810
2018,Australia,Rio Markers,usd_commitment,Cross-cutting,185048380
2018,Australia,Rio Markers,usd_commitment,Mitigation,19054704
2019,Australia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,147884240
2019,Australia,Rio Markers,usd_commitment,Adaptation,323547000
2019,Australia,Rio Markers,usd_commitment,Cross-cutting,229539200
2019,Australia,Rio Markers,usd_commitment,Mitigation,11410576
2020,Australia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,67871020
2020,Australia,Rio Markers,usd_commitment,Adaptation,309921470
2020,Australia,Rio Markers,usd_commitment,Cross-cutting,396674560
2020,Australia,Rio Markers,usd_commitment,Mitigation,57436480
2021,Australia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,83819580
2021,Australia,Rio Markers,usd_commitment,Adaptation,581739900
2021,Australia,Rio Markers,usd_commitment,Cross-cutting,402402750
2021,Australia,Rio Markers,usd_commitment,Mitigation,16263936
2022,Australia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,97082230
2022,Australia,Rio Markers,usd_commitment,Adaptation,581733400
2022,Australia,Rio Markers,usd_commitment,Cross-cutting,417314700
2022,Australia,Rio Markers,usd_commitment,Mitigation,96629120
2012,Austria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,3875278.8
2012,Austria,Rio Markers,usd_commitment,Adaptation,9111996
2012,Austria,Rio Markers,usd_commitment,Cross-cutting,2879433
2012,Austria,Rio Markers,usd_commitment,Mitigation,12126266
2013,Austria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,69960216
2013,Austria,Rio Markers,usd_commitment,Adaptation,15987552
2013,Austria,Rio Markers,usd_commitment,Cross-cutting,30671360
2013,Austria,Rio Markers,usd_commitment,Mitigation,40364016
